Universite;Specialisation;annee_experience;type_emploi;secteur_activite;competence_professionnelle;formation_complement;taille_equipe;budget_gere;nb_jour_formation_an;nb_projet;salaire;source_emploi
INSCAE - HEC - UNIVERSITE D ANTANANARIVO;Marketing, Management;Plus de 5 ans;Temps plein;Marketing/Publicité, Commercial;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité, Culture QHSE;Oui;5;15000000000;0;2;Plus de 3 Millions MGA;Sites d'offres d'emploi en ligne
DEGS Ankatso;Marketing;Plus de 5 ans;Temps plein;Societe en Zone Franche;Communication, Travail d'équipe, Résolution de problèmes;Oui;4;0;0;0;Entre 2 Millions MGA et 3 Millions MGA;Annonces dans les journaux
CNTEMAD;Management;Plus de 5 ans;Temps plein;Télécommunication;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité, Respect de la confidentialité, de l'éthique et de la compliance;Oui;2;0;7;4;Entre 2 Millions MGA et 3 Millions MGA;Recommandations
CNTEMAD;Comptabilité;Plus de 5 ans;Temps plein;Comptabilité/Audit;Travail d'équipe, Leadership;Oui;2;10000000;10;3;Entre 2 Millions MGA et 3 Millions MGA;Recommandations
ESSVA;Marketing;Plus de 5 ans;Temps plein;Comptabilité/Audit;Travail d'équipe, Résolution de problèmes, Adaptabilité;Non;0;12000000000;5;4;Moins de 2 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Finance, Comptabilité;Plus de 5 ans;Temps plein;Comptabilité/Audit;Travail d'équipe, Leadership, Adaptabilité;Oui;6;20000000;3;0;Entre 2 Millions MGA et 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
Institute of Management an Techonology;Finance, Comptabilité;Plus de 5 ans;Temps plein;Externalisation ;Communication, Leadership;Non;50;5000000000;10;4;Entre 2 Millions MGA et 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Marketing;1-2 ans;Temps partiel;Marketing/Publicité;Communication, Travail d'équipe, Leadership, Adaptabilité;Oui;4;20000000;10;2;Moins de 2 Millions MGA;Sites d'offres d'emploi en ligne
IT University;Informatique;3-5 ans;Temps plein;Informatique - Enseignement;Communication, Leadership, Résolution de problèmes;Oui;40;600000000;12;3;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Gestion des Ressources Humaines;Plus de 5 ans;Temps plein;Assurance;Travail d'équipe, Adaptabilité;Non;15;15000000;0;5;Entre 2 Millions MGA et 3 Millions MGA;Recommandations
