formation_complement;Expérience professionnelle;Heure_travail_semaine;Taille_équipe;Taille_équipe_la_plus_ grande;Nombre_réunions_hebdo;Montant_annuel_budget_géré;Nombre_jours_formation ;Nombre_projets ;Universite_freq_encoded;Specialisation_freq_encoded;annee_experience_freq_encoded;type_emploi_freq_encoded;secteur_activite_freq_encoded;competence_professionnelle_freq_encoded;formation_complement_freq_encoded;salaire_freq_encoded;source_emploi_freq_encoded
0;20;40;30;30;3;0;0;10;0.004672897;0.004672897;0.593457944;0.878504673;0.014018692;0.359813084;0.397196262;0.434579439;0.235849057
1;18;45;0;80;2;0;10;5;0.355140187;0.004672897;0.593457944;0.037383178;0.018691589;0.359813084;0.602803738;0.434579439;0.377358491
1;25;45;17;500;4;10000000000;8;3;0.004672897;0.004672897;0.593457944;0.878504673;0.004672897;0.014018692;0.602803738;0.434579439;0.235849057
1;15;40;5;10;3;1645000000;30;1;0.140186916;0.009345794;0.593457944;0.878504673;0.009345794;0.070093458;0.602803738;0.434579439;0.377358491
1;8;35;11;20;3;800000000;20;5;0.009345794;0.009345794;0.593457944;0.878504673;0.004672897;0.018691589;0.602803738;0.434579439;0.226415094
1;25;40;20;70;4;0;30;3;0.140186916;0.205607477;0.593457944;0.878504673;0.009345794;0.359813084;0.602803738;0.434579439;0.080188679
0;5;40;3;5;2;0;56;5;0.355140187;0.08411215;0.177570093;0.878504673;0.009345794;0.359813084;0.397196262;0.313084112;0.377358491
0;2;40;80;80;1;0;0;2;0.140186916;0.08411215;0.196261682;0.878504673;0.004672897;0.359813084;0.397196262;0.252336449;0.377358491
0;2;40;8;15;1;150000000;0;6;0.004672897;0.08411215;0.593457944;0.878504673;0.088785047;0.018691589;0.397196262;0.434579439;0.226415094
0;10;40;12;15;2;300000000;5;35;0.023364486;0.205607477;0.593457944;0.878504673;0.214953271;0.037383178;0.397196262;0.434579439;0.377358491
0;12;60;30;30;5;2,00E+11;0;5;0.056074766;0.205607477;0.593457944;0.878504673;0.004672897;0.359813084;0.397196262;0.434579439;0.235849057
0;9;40;6;6;1;200000000;8;25;0.355140187;0.205607477;0.593457944;0.878504673;0.214953271;0.056074766;0.397196262;0.313084112;0.235849057
1;10;40;4;7;1;50000000;7;1;0.046728972;0.088785047;0.593457944;0.878504673;0.009345794;0.037383178;0.602803738;0.313084112;0.377358491
1;15;45;15;24;3;250000000;20;3;0.004672897;0.023364486;0.593457944;0.878504673;0.214953271;0.037383178;0.602803738;0.313084112;0.377358491
1;3;20;0;900;1;0;8;2;0.355140187;0.08411215;0.177570093;0.037383178;0.004672897;0.359813084;0.602803738;0.252336449;0.226415094
0;2.5;45;5;5;2;0;17;4;0.056074766;0.08411215;0.196261682;0.878504673;0.004672897;0.037383178;0.397196262;0.252336449;0.235849057
1;27;40;18;42;2;180000000;20;2;0.004672897;0.004672897;0.593457944;0.878504673;0.009345794;0.004672897;0.602803738;0.434579439;0.377358491
1;18;45;5;8;1;12000000;10;4;0.004672897;0.004672897;0.593457944;0.037383178;0.014018692;0.070093458;0.602803738;0.434579439;0.235849057
1;28;40;12;22;2;150000000;5;2;0.140186916;0.205607477;0.593457944;0.878504673;0.088785047;0.359813084;0.602803738;0.434579439;0.377358491
0;7;30;4;20;2;240000000;5;10;0.023364486;0.056074766;0.593457944;0.878504673;0.214953271;0.014018692;0.397196262;0.434579439;0.377358491
1;15;40;10;20;1;200000000;10;2;0.023364486;0.08411215;0.593457944;0.878504673;0.028037383;0.018691589;0.602803738;0.313084112;0.080188679
0;2;40;6;18;3;150000000;20;3;0.023364486;0.08411215;0.196261682;0.878504673;0.023364486;0.004672897;0.397196262;0.252336449;0.235849057
1;29;45;50;75;3;15000000000;10;20;0.004672897;0.046728972;0.593457944;0.878504673;0.009345794;0.359813084;0.602803738;0.434579439;0.235849057
0;0;32;0;12;5;0;1;2;0.004672897;0.004672897;0.196261682;0.878504673;0.004672897;0.359813084;0.397196262;0.434579439;0.377358491
0;3;40;0;0;1;0;0;5;0.004672897;0.08411215;0.177570093;0.878504673;0.023364486;0.359813084;0.397196262;0.313084112;0.235849057
1;16;40;350;450;2;150000000;80;2;0.140186916;0.205607477;0.593457944;0.878504673;0.004672897;0.359813084;0.602803738;0.434579439;0.014150943
1;2.5;40;200;200;2;10000000;14;0;0.004672897;0.004672897;0.196261682;0.878504673;0.004672897;0.037383178;0.602803738;0.252336449;0.377358491
1;2;60;15;15;1;100000000;30;4;0.004672897;0.056074766;0.177570093;0.042056075;0.004672897;0.004672897;0.602803738;0.434579439;0.014150943
1;15;40;15;15;0.5;50000000;5;1;0.004672897;0.004672897;0.593457944;0.878504673;0.004672897;0.359813084;0.602803738;0.313084112;0.226415094
1;3;40;1;12;0;0;1;1;0.004672897;0.074766355;0.196261682;0.878504673;0.023364486;0.03271028;0.602803738;0.252336449;0.226415094
0;16;40;15;21;3;40000000;2;2;0.140186916;0.056074766;0.593457944;0.878504673;0.214953271;0.009345794;0.397196262;0.313084112;0.235849057
0;2;45;20;35;1;200000000;0;3;0.004672897;0.004672897;0.177570093;0.878504673;0.004672897;0.004672897;0.397196262;0.434579439;0.377358491
1;6;40;6;6;2;0;15;2;0.004672897;0.004672897;0.593457944;0.878504673;0.004672897;0.004672897;0.602803738;0.313084112;0.377358491
1;1;40;4;4;0;0;0;2;0.355140187;0.088785047;0.03271028;0.878504673;0.004672897;0.023364486;0.602803738;0.252336449;0.226415094
1;9;40;23;40;2;30000000;14;20;0.009345794;0.08411215;0.593457944;0.878504673;0.088785047;0.03271028;0.602803738;0.313084112;0.226415094
1;20;40;70;100;10;150000000;2;4;0.140186916;0.056074766;0.593457944;0.878504673;0.009345794;0.037383178;0.602803738;0.252336449;0.080188679
0;7;8;0;5;0;0;3;0;0.355140187;0.08411215;0.593457944;0.878504673;0.214953271;0.037383178;0.397196262;0.434579439;0.080188679
0;1;40;1;3;1;20000;7;1;0.355140187;0.08411215;0.196261682;0.004672897;0.009345794;0.023364486;0.397196262;0.252336449;0.377358491
1;23;10;1000;6;1;400000000;8;2;0.004672897;0.004672897;0.593457944;0.004672897;0.004672897;0.070093458;0.602803738;0.434579439;0.014150943
